cve_municipio,cve_region,nombre_municipio
504,6,NUEVO ZOQUIÁPAM
505,3,SANTO DOMINGO INGENIO
506,8,SANTO DOMINGO ALBARRADAS
507,2,SANTO DOMINGO ARMENTA
508,3,SANTO DOMINGO CHIHUITÁN
509,2,SANTO DOMINGO DE MORELOS
510,4,SANTO DOMINGO IXCATLÁN
511,4,SANTO DOMINGO NUXAÁ
512,7,SANTO DOMINGO OZOLOTEPEC
513,3,SANTO DOMINGO PETAPA
514,7,SANTO DOMINGO ROAYAGA
515,3,SANTO DOMINGO TEHUANTEPEC
516,7,SANTO DOMINGO TEOJOMULCO
517,6,SANTO DOMINGO TEPUXTEPEC
518,4,SANTO DOMINGO TLATAYÁPAM
519,8,SANTO DOMINGO TOMALTEPEC
520,4,SANTO DOMINGO TONALÁ
521,4,SANTO DOMINGO TONALTEPEC
522,7,SANTO DOMINGO XAGACÍA
523,4,SANTO DOMINGO YANHUITLÁN
524,4,SANTO DOMINGO YODOHINO
525,3,SANTO DOMINGO ZANATEPEC
526,2,SANTOS REYES NOPALA
527,1,SANTOS REYES PÁPALO
528,4,SANTOS REYES TEPEJILLO
529,4,SANTOS REYES YUCUNÁ
530,8,SANTO TOMÁS JALIEZA
531,8,SANTO TOMÁS MAZALTEPEC
532,4,SANTO TOMÁS OCOTEPEC
533,7,SANTO TOMÁS TAMAZULAPAN
534,8,SAN VICENTE COATLÁN
535,7,SAN VICENTE LACHIXÍO
536,4,SAN VICENTE NUÑÚ
537,4,SILACAYOÁPAM
538,7,SITIO DE XITLAPEHUA
539,8,SOLEDAD ETLA
540,4,VILLA DE TAMAZULÁPAM DEL PROGRESO
541,7,TANETZE DE ZARAGOZA
542,8,TANICHE
543,2,TATALTEPEC DE VALDÉS
544,6,TEOCOCUILCO DE MARCOS PÉREZ
545,1,TEOTITLÁN DE FLORES MAGÓN
546,8,TEOTITLÁN DEL VALLE
547,4,TEOTONGO
548,4,TEPELMEME VILLA DE MORELOS
549,4,"HEROICA VILLA TEZOATLÁN DE SEGURA Y LUNA, CUNA DE LA INDEPENDENCIA DE OAXACA"
550,8,SAN JERÓNIMO TLACOCHAHUAYA
551,8,TLACOLULA DE MATAMOROS
552,4,TLACOTEPEC PLUMAS
553,8,TLALIXTAC DE CABRERA
554,6,TOTONTEPEC VILLA DE MORELOS
555,8,TRINIDAD ZAACHILA
556,4,LA TRINIDAD VISTA HERMOSA
557,3,UNIÓN HIDALGO
558,1,VALERIO TRUJANO
559,5,SAN JUAN BAUTISTA VALLE NACIONAL
560,8,VILLA DÍAZ ORDAZ
561,8,YAXE
562,4,MAGDALENA YODOCONO DE PORfIRIO DÍAZ
563,8,YOGANA
564,4,YUTANDUCHI DE GUERRERO
565,8,VILLA DE ZAACHILA
566,7,SAN MATEO YUCUTINDOO
567,4,ZAPOTITLÁN LAGUNAS
568,4,ZAPOTITLÁN PALMAS
569,4,SANTA INÉS DE ZARAGOZA
570,8,ZIMATLÁN DE ÁLVAREZ
